title,seakpeek,date,link
"유증 호재 신한지주, 최저금리 신종자본증권 발행 유력","신한금융지주가 올해 발행된 금융지주 신종자본증권 가운데 역대 최저금리를 달성할 것으로 전망됐다. 수요예측에서 크게 흥행한 덕분이다. 경쟁률도 2배수를 훌쩍 넘었다.

신한금융지주는 4일 이사회를...",2020-09-11 오후 5:27:58,http://www.thebell.co.kr/free/content/ArticleView.asp?key=20200911165156964010457
"CJ대한통운, 7년만의 사모채…단기성차입금 상환",CJ대한통운이 사모채를 발행해 800억원을 조달한다. 단기 차입금을 장기물로 차환해 재무 건전성을 제고할 방침이다. CJ대한통운이 영구채가 아닌 일반 사채를 사모 방식으로 조달하는 것은 2013년 ...,2020-09-10 오후 1:51:22,http://www.thebell.co.kr/free/content/ArticleView.asp?key=202009071306186280103196
"'가치투자'를 업그레이드하다, 이건규 르네상스 대표",이건규 르네상스자산운용 대표(사진)는 지독한 근검 절약이 몸에 배어 있는 사람이다. 핸드폰은 단종되기 직전 모델만 구입하고 옷은 재고가 쌓여 할인 중인 것만 입으며 살아왔다. 그렇게 아낀 돈으로 주...,2020-03-24 오후 1:40:56,http://www.thebell.co.kr/free/content/ArticleView.asp?key=202003231504152760101944
[인사이드]LG가 잘돼야 하는 이유,LG그룹의 60년 사업력은 고유의 경영 인자(因子)를 낳았다. 조용하면서도 항상 변화와 개척의 첨단에 서있는 기업이 LG다. 치장하거나 부풀리지 않는다. 유연하고 침착하지만 결정의 순간에 단호하다....,2007-02-26 오후 4:50:26,http://www.thebell.co.kr/free/content/ArticleView.asp?key=4134
[인사이드]LG가 잘돼야 하는 이유,LG그룹의 60년 사업력은 고유의 경영 인자(因子)를 낳았다. 조용하면서도 항상 변화와 개척의 첨단에 서있는 기업이 LG다. 치장하거나 부풀리지 않는다. 유연하고 침착하지만 결정의 순간에 단호하다....,2007-02-26 오후 4:50:26,http://www.thebell.co.kr/free/content/ArticleView.asp?key=4134
"투비소프트, 채무상환 위해 200억 유증 나선다","기업용 UI(사용자인터페이스), UX(사용자경험) 전문기업 투비소프트가 운영자금과 채무상환을 위한 유동성 마련에 나섰다.  투비소프트는 11일 이사회를 열고 매그넘비이비코리아를 대상으로 2...",2020.09.11 19:57,https://paxnetnews.com/articles/65216
아시아나 M&A,우려가 일이 현실이 됐다. HDC현대산업개발-미래에셋대우 컨소시엄(이하 HDC현산)으로의 아시아나항공 인수·합병(M&A) 협상이 결렬됐다. 아시아나항공의 최대주주인 금호산업과 주채권은행인 ...,2020.09.11 19:07,https://paxnetnews.com/series/65210
"한국테크놀로지, 대우조선해양건설 지배력 강화",코스닥 상장사 한국테크놀로지가 대우조선해양건설의 지분을 전량 확보할 전망이다. 한국테크놀로지는 대우조선해양건설 최대주주인 한국인베스트먼트뱅크의 100% 주주로 올라설 예정이라고 11일 밝혔...,2020.09.11 16:47,https://paxnetnews.com/articles/65207
"급락장속 애경 오너2세, 3세에 증여...절묘한 타이밍?",애경그룹 오너 2세가 3세들에게 그룹 지주회사인 AK홀딩스 보유 주식을 대거 증여했다. AK홀딩스 주가가 급락한 시점에서 이뤄진 증여로 애경 오너 3세는 수십억원에 달하는 증여세 절감 효과...,2020.09.11 14:45,https://paxnetnews.com/articles/65191
공모주 열풍 시대,하반기 공모 시장이 호황 속에 미소를 짓고 있는 곳이 있다. 하이일드(High yield) 펀드다. 공모주 우선 배정 혜택 덕에 일반 청약에 비해 물량 확보가 쉬다는 점에서 시중 자금이 속...,2020.09.11 08:32,https://paxnetnews.com/series/65153
